paper_id,n_scispacy_entities,n_gold_entities,scispacy_precision,scispacy_recall,scispacy_f1,gold_subject,gold_object,scispacy_entities
10.3389/fvets.2020.597430,38,2,0.026,0.5,0.05,seaweed-based feed ingredients,enteric methane emissions,"['associated with', 'research', 'GHG', 'methane', 'participants', 'seaweeds', 'supply chains', 'considerations', 'animal feeds', 'Advanced Research Projects Agency-Energy']"
10.1016/j.jia.2024.09.036,40,2,0.05,1.0,0.095,bromoform,coenzyme M methyltransferase,"['species', 'investigated', 'seaweed', 'Asparagopsis taxiformis', 'research', 'concentration', 'bromoform', 'methane', 'safety', 'inhibit']"
10.1139/cjas-2024-0129,47,2,0.021,0.5,0.041,Ascophyllum nodosum and Himanthalia elongata extract,methane yield & neutral detergent fibre digestibility,"['digestibility', 'counts', 'Himanthalia elongata', 'effect', 'dietary DM', 'seaweed extract', 'pH.', 'methane', 'protozoa', 'high-forage diet']"
10.1016/j.envres.2024.119458,34,2,0.059,1.0,0.111,Laminaria japonica & Laminaria japonica enzymatic hydrolysate,methane production ,"['Methane', 'warming effect', 'seaweed', 'carbon dioxide', 'global', 'in vitro trials', 'results', 'highthroughput sequencing', 'methane', 'anthropogenic methane']"
10.3389/fvets.2022.985824,50,2,0.04,1.0,0.077,Asparagopsis taxiformis extract,methane production ,"['batch', 'degradability', 'Asparagopsis taxiformis', 'microbial', 'sample', 'triplicates', 'Chondracanthus tenellus', 'GELL', 'seaweed extract', 'AANC']"
10.1073/pnas.2410863121,53,2,0.0,0.0,0.0,Asparagopsis taxiformis (Brominata),enteric methane emissions,"['Angus', 'global', 'carbon dioxide', 'CO2', 'phase', 'methane', 'effectiveness', 'inhibitor', 'time', 'investigates']"
10.1002/jsfa.70016,44,2,0.045,1.0,0.087,Himanthalia elongata & Fucus vesiculosus,methane production ,"['VFA', 'investigated', 'Feeding seaweeds', 'Himanthalia elongata', 'Asparagopsis taxiformis', 'extracts', 'GHG', 'methane', 'rumen fermentation', 'seaweeds']"
10.3390/microorganisms13010123,36,2,0.056,1.0,0.105,Sargassum wightii,methane production ,"['collected', 'ash', 'methane', 'incorporation', 'content', 'seaweeds', 'specifera', 'crude protein', 'characteristics', 'Padin']"
10.3168/jds.2025-27251,52,2,0.038,1.0,0.074,Laurencia snackeyi,methane production,"['investigated', 'intake', 'ororuminal tubing', 'dose', 'crossover design', 'emission', 'data', 'preliminary', 'sampled', 'feeding']"
10.3390/agriculture15161768,45,2,0.022,0.5,0.043,Gracilaria lemaneiformis,methane production & methanogenic archaea,"['VFA', 'Methane', 'agriculture industry', 'red seaweed Gracilaria lemaneiformis (G. lemaneiformis', 'seaweed', 'results', 'CO2', 'gas', 'rumen fermentation', 'disappearance']"
10.3168/jds.2025-27429,47,2,0.021,0.5,0.041,Asparagopsis taxiformis (Brominata),enteric methane emissions,"['SIR1.5', 'cow', 'dietary inclusion rates', 'cows', 'data', 'bromoform', 'methane', 'increasing', 'health', 'dairy cows']"
10.1016/j.animal.2025.101681,42,2,0.0,0.0,0.0,Asparagopsis taxiformis macerate with sunflower oil,enteric methane emissions,"['supplementing', 'Methane', 'CHBr3', 'Asparagopsis taxiformis', 'B30', 'research', 'concentration', 'gas', 'methane', 'experimental conditions']"
10.1016/j.anifeedsci.2022.115468,44,2,0.023,0.5,0.043,phlorofucofuroeckol-A  & dieckol,methane production,"['cannulated', ""brown algae's"", 'batch', 'Methane', 'quadratic', 'derivative', 'emission', 'Brown algae', 'Holstein cows', 'phlorotannin derivatives']"
10.3168/jds.2025-26960,37,2,0.054,1.0,0.103,bromoform-containing feed ingredients,methane production,"['intensity', 'Methane', 'CHBr3', 'global', 'dose', 'DMI', 'studies', 'reduced', 'Asparagopsis seaweed', 'tools']"
10.1016/j.smallrumres.2025.107487,44,2,0.023,0.5,0.043,Asparagopsis armata oil extract,enteric methane emissions,"['investigated', 'attention', 'CHBr3', 'dose', 'diets', 'abatement', 'inclusion', 'bromoform', 'methane', 'merino wethers']"
10.1016/j.anifeedsci.2023.115579,44,2,0.023,0.5,0.043,Asparagopsis armata oil infusion,enteric methane emissions,"['edible oil', 'removed', 'production systems', 'seaweed', 'effect', 'DMI', 'antimethanogenic compound', 'feeding', 'bromoform', 'formulations']"
10.3168/jds.2025-27372,51,2,0.02,0.5,0.038,bromoform,enteric methane production,"['Latin square design', 'Methane', 'CHBr3/d', 'CHBr3', 'isolate', 'CHBr3-containing seaweed', 'effective', 'effect', 'DMI', 'dose']"
10.1016/j.jclepro.2022.132456,48,2,0.042,1.0,0.08,brown macroalgae phlorotannins,rumen fermentation,"['degradability', 'ash', 'maize', 'anti-methanogenic properties', 'brown', 'red macroalgae', 'inversely', 'fermentability', 'Marine macroalgae', 'silage']"
10.1016/j.anifeedsci.2022.115503,42,2,0.048,1.0,0.091,Asparagopsis taxiformis  & Ascophyllum nodosum,methane production,"['species', 'results', 'red macroalgae', 'studies', 'brown', 'inclusion', 'methane', 'rumen fermentation', 'analyzed', 'animal performance']"
10.1016/j.anifeedsci.2019.114225,35,2,0.0,0.0,0.0,Alaria esculenta protein fraction & Saccharina latissima protein fraction,methane production AND organic matter digestibility,"['species', 'extraction procedure', 'uCP', 'high', 'Utilisable crude protein', 'analysed', 'reduced', 'methane', 'silage', 'content']"
